video_path,chunk,label
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_0.mp4,subject_7_as2uk9lhe2_vid_0_0.mp4,2
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_1.mp4,subject_7_as2uk9lhe2_vid_0_1.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_10.mp4,subject_7_as2uk9lhe2_vid_0_10.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_11.mp4,subject_7_as2uk9lhe2_vid_0_11.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_12.mp4,subject_7_as2uk9lhe2_vid_0_12.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_13.mp4,subject_7_as2uk9lhe2_vid_0_13.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_14.mp4,subject_7_as2uk9lhe2_vid_0_14.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_15.mp4,subject_7_as2uk9lhe2_vid_0_15.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_16.mp4,subject_7_as2uk9lhe2_vid_0_16.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_17.mp4,subject_7_as2uk9lhe2_vid_0_17.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_18.mp4,subject_7_as2uk9lhe2_vid_0_18.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_19.mp4,subject_7_as2uk9lhe2_vid_0_19.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_2.mp4,subject_7_as2uk9lhe2_vid_0_2.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_20.mp4,subject_7_as2uk9lhe2_vid_0_20.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_21.mp4,subject_7_as2uk9lhe2_vid_0_21.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_22.mp4,subject_7_as2uk9lhe2_vid_0_22.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_23.mp4,subject_7_as2uk9lhe2_vid_0_23.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_24.mp4,subject_7_as2uk9lhe2_vid_0_24.mp4,1
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_25.mp4,subject_7_as2uk9lhe2_vid_0_25.mp4,3
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_26.mp4,subject_7_as2uk9lhe2_vid_0_26.mp4,3
../Engagement Datasets/EngageNet/EngageNet/Validation/subject_7_as2uk9lhe2_vid_0_27.mp4,subject_7_as2uk9lhe2_vid_0_27.mp4,4
